-0.0,-0.0,0.019
-0.0,0.0,0.022
0.0,-0.0,0.021
-0.0,-0.0,0.019
0.0,-0.0,0.02
0.0,0.0,0.018
0.004,0.022,-0.028
-0.003,0.012,-0.034
0.001,0.013,0.02
0.0,0.011,0.074
-0.001,0.06,0.015
0.013,0.065,-0.001
0.088,-0.195,-0.017
0.113,-0.257,0.223
-0.015,-0.362,0.547
0.135,0.586,0.051
0.329,0.885,-0.174
0.327,0.665,-0.272
0.113,-0.035,-0.26
-0.261,0.138,0.532
-0.059,0.417,0.584
0.174,0.256,-0.276
0.236,0.195,-0.124
0.219,0.153,-0.042
0.097,-0.001,-0.069
-0.085,-0.057,-0.156
-0.012,-0.216,-0.18
0.102,-0.061,-0.038
-0.283,0.06,0.078
-0.563,0.098,-0.098
-0.199,0.083,-0.046
0.403,-0.025,0.111
0.751,-0.025,0.28
-0.411,0.128,-0.081
-1.043,0.067,-0.157
0.612,-0.035,0.131
0.468,0.045,0.253
-1.126,0.054,-0.133
-0.055,-0.064,-0.008
0.809,0.028,0.286
-1.018,-0.02,-0.125
0.311,0.027,0.023
0.561,0.106,0.169
-0.34,-0.015,-0.035
-0.451,-0.117,-0.193
0.356,-0.026,-0.035
-0.667,0.072,0.063
-0.215,0.068,-0.034
0.299,0.081,-0.085
0.52,0.085,-0.106
0.482,0.146,-0.096
-0.372,-0.004,0.071
-0.463,-0.068,0.039
-0.284,-0.054,-0.012
0.27,0.076,-0.065
0.31,0.057,0.003
-0.288,0.024,0.016
-0.421,-0.008,-0.045
0.136,0.022,-0.068
0.63,0.022,-0.038
0.307,0.108,0.004
-0.78,0.011,0.016
-0.164,0.009,-0.075
0.814,0.019,-0.072
0.567,0.071,-0.027
-0.656,0.072,-0.049
-0.54,0.034,0.007
0.409,-0.529,-0.38
0.002,0.921,0.177
-0.061,-0.533,-0.551
-0.039,-0.909,-0.68
0.063,0.347,0.121
-0.123,0.637,0.106
-0.038,-0.977,-0.735
0.11,-0.56,-0.372
0.115,0.437,0.195
-0.057,0.096,-0.14
0.036,-0.622,-0.476
-0.019,0.992,0.247
-0.003,-1.028,-0.551
0.047,-0.888,-0.472
0.084,-0.349,-0.173
0.013,0.818,0.352
-0.257,-0.398,-0.377
0.08,-0.506,-0.483
0.135,0.649,0.232
-0.34,-0.415,-0.157
0.257,-0.172,-0.063
0.01,0.385,0.026
-0.325,-0.098,-0.145
-0.21,-0.33,-0.226
0.107,0.256,-0.088
0.134,0.443,0.002
0.058,0.425,0.146
0.046,-0.78,-0.447
0.039,-0.291,-0.364
-0.098,1.137,0.312
-0.14,0.637,0.077
-0.114,-0.015,-0.292
0.084,-1.011,-0.715
0.023,0.995,0.234
-0.144,1.192,0.336
-0.229,0.759,0.069
0.294,-1.147,-0.859
0.167,0.271,-0.114
-0.027,0.975,0.226
-0.22,1.384,0.535
0.069,-1.122,-1.069
0.147,-0.764,-0.796
-0.299,1.121,0.467
-0.001,0.115,-0.257
0.497,-0.331,-0.475
0.537,0.1,0.023
-0.483,-0.109,-0.268
-0.819,0.016,0.139
-0.646,-0.01,-0.031
-0.506,-0.052,-0.241
0.321,0.254,-0.564
0.973,-0.007,0.059
0.964,-0.058,0.115
0.809,-0.045,-0.148
0.679,0.061,-0.382
0.327,0.232,-0.605
-0.717,0.168,-0.579
-0.774,-0.104,0.05
-0.729,-0.258,0.275
-0.702,-0.138,-0.067
-0.556,0.128,-0.574
0.443,0.181,-0.878
0.792,0.043,-0.552
0.785,-0.089,-0.126
0.72,-0.081,0.157
0.691,-0.018,0.062
0.433,0.151,-0.523
0.251,0.192,-0.635
-0.399,0.166,-0.693
-0.755,-0.204,-0.134
-0.786,-0.315,0.122
-0.703,-0.17,0.082
-0.576,0.009,-0.045
-0.079,0.353,-0.456
0.568,0.222,-0.243
0.412,-0.147,-0.154
0.183,-0.124,-0.109
0.135,0.071,-0.033
0.055,0.092,-0.052
-0.033,0.103,-0.054
-0.185,0.02,0.104
-0.272,-0.072,0.132
-0.335,-0.129,0.185
-0.29,0.126,0.221
-0.108,0.406,0.021
0.014,0.489,-0.091
0.081,0.466,-0.184
0.135,0.325,-0.122
-0.021,0.227,-0.078
-0.09,0.183,-0.036
-0.137,0.162,0.095
-0.067,0.261,-0.059
-0.097,0.196,-0.333
-0.202,0.083,-0.197
-0.182,-0.015,0.101
-0.072,0.091,0.114
-0.027,0.256,-0.092
-0.04,0.385,-0.217
-0.3,-0.072,-0.183
-0.255,0.106,-0.083
-0.185,-0.05,0.225
-0.1,-0.168,0.124
0.047,-0.103,-0.052
0.042,-0.1,-0.011
-0.021,-0.054,0.035
-0.152,0.106,0.013
-0.138,0.169,-0.001
-0.076,0.13,0.21
0.016,0.115,0.277
0.001,0.104,0.034
0.002,0.054,0.022
-0.001,0.027,0.02
-0.002,0.019,0.021
-0.001,0.009,0.02
-0.001,0.004,0.019
-0.001,0.004,0.019
-0.0,0.002,0.018
0.001,0.002,0.019
-0.0,0.002,0.019
-0.0,0.001,0.018
-0.001,0.001,0.019
-0.0,0.0,0.019
0.0,-0.0,0.02
